Code :2096     | Name:Korean 1985 / Korea East Belt                                       | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2097     | Name:Korean 1985 / Korea Central Belt                                    | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2098     | Name:Korean 1985 / Korea West Belt                                       | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2099     | Name:Qatar 1948 / Qatar Grid                                             | Error using ==> convertCoordinates at 167 No transformation methods available ...
Code :2176     | Name:ETRS89 / Poland CS2000 zone 5                                       | Test result is OK!
Code :2177     | Name:ETRS89 / Poland CS2000 zone 6                                       | Test result is OK!
Code :2178     | Name:ETRS89 / Poland CS2000 zone 7                                       | Test result is OK!
Code :2179     | Name:ETRS89 / Poland CS2000 zone 8                                       | Test result is OK!
Code :2180     | Name:ETRS89 / Poland CS92                                                | Test result is OK!
Code :2188     | Name:Azores Occidental 1939 / UTM zone 25N                               | Test result is OK!
Code :2189     | Name:Azores Central 1948 / UTM zone 26N                                  | Test result is OK!
Code :2190     | Name:Azores Oriental 1940 / UTM zone 26N                                 | Test result is OK!
Code :2192     | Name:ED50 / France EuroLambert                                           | Test result is not OK: diff(lon) =   -0.0000   -0.0000   -0.0000   -0.0000   -0.0000 | diff(lat) =    0.1995    0.1950    0.1950    0.1993    0.1993 
Code :2193     | Name:NZGD2000 / New Zealand Transverse Mercator 2000                     | Test result is OK!
Code :2195     | Name:NAD83(HARN) / UTM zone 2S                                           | Test result is OK!
Code :2196     | Name:ETRS89 / Kp2000 Jutland                                             | Test result is OK!
Code :2197     | Name:ETRS89 / Kp2000 Zealand                                             | Test result is OK!
Code :2198     | Name:ETRS89 / Kp2000 Bornholm                                            | Test result is OK!
Code :2200     | Name:ATS77 / New Brunswick Stereographic (ATS77)                         | Error using ==> ConvertCoordinatesDatumTransform at 139 Warning: Datum transformation method 'NTv2' not yet supported!
Code :2201     | Name:REGVEN / UTM zone 18N                                               | Test result is OK!
Code :2202     | Name:REGVEN / UTM zone 19N                                               | Test result is OK!
Code :2203     | Name:REGVEN / UTM zone 20N                                               | Test result is OK!
Code :2204     | Name:NAD27 / Tennessee                                                   | Test result is OK!
Code :2205     | Name:NAD83 / Kentucky North                                              | Test result is OK!
Code :2206     | Name:ED50 / 3-degree Gauss-Kruger zone 9                                 | Test result is OK!
Code :2207     | Name:ED50 / 3-degree Gauss-Kruger zone 10                                | Test result is OK!
Code :2208     | Name:ED50 / 3-degree Gauss-Kruger zone 11                                | Test result is OK!
