CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
1998.07,3/11/1998,11/11/1998,Alexandra Garnier; Istar,Add old Spanish systems,Ellipsoid Geod_Datum  HorizCS  Trf_nonpoly  Trf_path  Geod_trf,7028,,Added Geod_datum 6903; GeogCS 4903 and ProjCS 300; transformation method 9617; polynomial transformations 1001-1003 and geodetic transfprmations 8238-8241.  Changed ellipsoid semi-major axis from 6378297 given by Strasser to 6378298.3 as used in Spain.
1998.08,3/24/1998,4/1/1998,EPSG,Version 4.0 release,,,,
1998.09,3/30/1998,4/16/1998,Peter Ladstaetter; Siemens-Nixdorf,Use EPSG data in OGC well known text representation,,,,Readme file reworded.
1998.101,4/6/1998,4/16/1998,Chris Pryce; Shell,Add Trinidad datum transformations,Trf_nonpoly  Geod_trf,,,Added  non-polynomial transformations1295-1296; geodetic transformations 8212-8213.
1998.102,4/16/1998,4/16/1998,EPSG,Add Trinidad datum transformations from older edition of DMA TR8350.2,Trf_nonpoly  Geod_trf,1192  8092,EPSG believes that the values for the Naparima to WGS 84 transformation from DMA TR8350.2 versions of 1991-97 contain a blunder.  However we believe that the values from the 1987 edition exclude this blunder.,Added  non-polynomial transformation 1307; geodetic transformation 8229.  Added cautionary note to non-polynomial transformation 1192 and geodetic transformation 8092.
1998.11,4/10/1998,4/16/1998,Melita Kennedy; ESRI,Check Pulkovo 1942 geodetic transformations,Trf_nonpoly,1245  1275  1287-1293,The offset in names of single step geod_trf and their trf_nonpoly names has caused confusion.  To resolve this all non_polt transformation names will adopt their single step geod_trf name. There may be gaps in the sequencing of trf_nonpoly names.,For trf_nonpoly 1245 and 1275 ED50 to WGS 84 (x); x increased by 2.  For 1287-1293 Pulkovo 1942 to WGS 84 (y); y increased by 1.
1998.111,4/14/1998,4/16/1998,Jim Cain; Western Geophysical,Add Kazakstan Caspian geodetic transformation,Trf_nonpoly  Geod_trf,,,Added  non-polynomial transformation 1303; geodetic transformation 8225.
1998.12,4/14/1998,4/16/1998,Simon-Pierre Cadieux; Formatek,Check ellipsoid parameters,Ellipsoid,7011,"In version 4.0 ellipsoid table issued with 1/f values having inappropriate precision.  In version 4.1 a precision of 5 decimal places, as v3.2, re-instated.",Change 7011 second parameter from inverse flattening value of 293.46602... to semi-minor axis value of 6356515.0 m.
1998.13,4/15/1998,4/16/1998,Simon-Pierre Cadieux; Formatek,Correct name,Geod_trf,8198,,"EPSG_name corrected from ""LKS94 to WGS84 (1)"" to ""LKS94 to WGS 84 (1)"".
          LKS94 to WGS84 (1)"
1998.14,4/14/1998,4/16/1998,Roger Lott; BP,Add Mozambique CS and transformations,Geod_Datum  HorizCS  Trf_nonpoly  Geod_trf,,,Added geodetic datums 6127-6130; geogCS 41227-4130; projCS 2736 2737 3036 & 3037;  non-polynomial transformations 1297-1302; geodetic transformations 8214-8224; vertical datum 5121; vertCS 5722.
1998.15,5/8/1998,6/30/1998,Richard Wylde; SIMA Consultancy,Check NIMA Algeria datum transformations,Trf_non-poly,1255  8158,NIMA advise that the published transformation parameter values are consistent with the data used in their derivation.  However EPSG believes that the data for non-polynomial transformation 1253 contains a blunder.,Cautionary note added to DMA Voirol Unifie 1960 to WGS 84 non-polynomial transformation 1255 and geodetic transformation 8158.
1998.16,5/18/1998,5/18/1998,Roel Nicolai; Shell,Minor change to text describing formula,Trf_method,9606,Change applies to text; the formula is unchanged.,Added phrase in 3rd paragraph to clarify convention common in E&P practice.
1998.17,6/3/1998,6/30/1998,Andreas Kasparz; FEZ Potsdam.,Add DHDN to WGS 84 geodetic transformation.,Trf_nonpoly  Geod_trf,,Also added Pulkovo 1942 to WGS 84 for former East Germany.,Added non-polynomial transformations 1309 1310; transformation paths 8633-8636 and geodetic transformations 8233-8236.
1998.18,6/3/1998,6/30/1998,Andreas Kasparz; FEZ Potsdam.,Amend codes to long integer.,All,,EPSG codes can all be accomodated with a short integer.  EPSG will therefore not change its database declarations.   User-defined extensions to the EPSG list can be accomodated by users declaring all code fields as long integer.,
1998.19,6/3/1998,6/30/1998,Andreas Kasparz; FEZ Potsdam.,Extend ProjCS zones based on Pulkovo 1942 GeogCS.,HorizCS,,,Added non-polynomial transformations 16202 16203 16302 16303 and projCS 28402 28403 28462 28463.
1998.2,6/30/1998,6/30/1998,EPSG,Correct NADCON entries,Trf_non-poly,1241  1243,,Moved file names from remarks tp parameter fields.
